7,15-16,8,88,224
7,15-16,9,88,224
7,15-16,10,88,224
7,15-16,11,88,224
7,15-16,12,88,224
7,15-16,13,88,224
7,15-16,14,88,224
7,15-16,15,184,320
7,15-16,16,184,411
7,15-16,17,184,411
7,15-16,18,184,411
7,15-16,19,184,411
7,15-16,20,184,411
7,15-16,21,184,411
7,15-16,22,184,477
7,15-16,23,278,571
7,15-16,24,278,571
7,15-16,25,278,629

8,3-14,1,88,176
8,3-14,2,88,176
8,3-14,3,88,176
8,3-14,4,88,176
8,3-14,5,88,204
8,3-14,6,88,204
8,3-14,7,88,204
8,3-14,8,88,204
8,3-14,9,188,304
8,3-14,10,188,304
8,3-14,11,188,304
8,3-14,12,188,381
8,3-14,13,188,381
8,3-14,14,188,416
8,3-14,15,188,416
8,3-14,16,188,416
8,3-14,17,188,416
8,3-14,18,188,430
8,3-14,19,188,530
8,3-14,20,188,530
8,3-14,21,188,530
8,3-14,22,188,530
8,3-14,23,188,624
8,3-14,24,188,624
8,3-14,25,188,624

9,1-18,1,88,88
9,1-18,2,88,88
9,1-18,3,88,88
9,1-18,4,88,88
9,1-18,5,88,88
9,1-18,6,88,88
9,1-18,7,88,88
9,1-18,8,88,152
9,1-18,9,88,152
9,1-18,10,88,152
9,1-18,11,88,152
9,1-18,12,88,229
9,1-18,13,185,326
9,1-18,14,185,326
9,1-18,15,185,326
9,1-18,16,185,417
9,1-18,17,185,417
9,1-18,18,185,417
9,1-18,19,185,517
9,1-18,20,185,517
9,1-18,21,185,517
9,1-18,22,185,517
9,1-18,23,279,611
9,1-18,24,279,611
9,1-18,25,279,611

10,10-12,1,88,88
10,10-12,2,88,88
10,10-12,3,88,88
10,10-12,4,88,88
10,10-12,5,88,88
10,10-12,6,88,88
10,10-12,7,88,88
10,10-12,8,88,88
10,10-12,9,188,188
10,10-12,10,188,188
10,10-12,11,281,281
10,10-12,12,281,281
10,10-12,13,281,378
10,10-12,14,281,378
10,10-12,15,281,378
10,10-12,16,281,378
10,10-12,17,281,378
10,10-12,18,281,378
10,10-12,19,281,478
10,10-12,20,317,514
10,10-12,21,317,514
10,10-12,22,317,514
10,10-12,23,317,608
10,10-12,24,317,608
10,10-12,25,317,608

11,5-11,1,88,88
11,5-11,2,88,88
11,5-11,3,88,88
11,5-11,4,88,158
11,5-11,5,88,158
11,5-11,6,88,158
11,5-11,7,160,230
11,5-11,8,160,230
11,5-11,9,160,230
11,5-11,10,160,230
11,5-11,11,160,230
11,5-11,12,160,307
11,5-11,13,160,307
11,5-11,14,160,307
